Date,Rainfall
2000-01-01,0.94
2000-02-01,2.94
2000-03-01,2.07
2000-04-01,3.65
2000-05-01,2.15
2000-06-01,3.52
2000-07-01,2.61
2000-08-01,5.37
2000-09-01,3.21
2000-10-01,3.08
2000-11-01,6.73
2000-12-01,2.81
2001-01-01,3.73
2001-02-01,2.25
2001-03-01,0.46
2001-04-01,6.9
2001-05-01,4.32
2001-06-01,4.21
2001-07-01,3.01
2001-08-01,0.69
2001-09-01,4.96
2001-10-01,3.36
2001-11-01,4.27
2001-12-01,2.77
2002-01-01,1.07
2002-02-01,2.21
2002-03-01,1.78
2002-04-01,6.88
2002-05-01,6.79
2002-06-01,2.52
2002-07-01,1.07
2002-08-01,2.32
2002-09-01,1.67
2002-10-01,12.35
2002-11-01,7.02
2002-12-01,5.46
2003-01-01,1.9
2003-02-01,2.51
2003-03-01,3.9
2003-04-01,4.65
2003-05-01,5.73
2003-06-01,3.85
2003-07-01,2.85
2003-08-01,1.81
2003-09-01,3.01
2003-10-01,4.36
2003-11-01,9.99
2003-12-01,0.82
2004-01-01,0.81
2004-02-01,0.91
2004-03-01,1.01
2004-04-01,4.34
2004-05-01,6.4
2004-06-01,3.61
2004-07-01,2.38
2004-08-01,1.86
2004-09-01,7.92
2004-10-01,8.23
2004-11-01,8.45
2004-12-01,4.59
2005-01-01,2.73
2005-02-01,1.21
2005-03-01,3.58
2005-04-01,5.05
2005-05-01,6.06
2005-06-01,4.15
2005-07-01,3.46
2005-08-01,1.08
2005-09-01,2.92
2005-10-01,9.84
2005-11-01,15.17
2005-12-01,4.21
2006-01-01,5.86
2006-02-01,1.82
2006-03-01,4.15
2006-04-01,2.22
2006-05-01,5.88
2006-06-01,3.52
2006-07-01,3.23
2006-08-01,5.94
2006-09-01,5.1
2006-10-01,15.56
2006-11-01,14.21
2006-12-01,5.39
2007-01-01,3.15
2007-02-01,0.7
2007-03-01,1.01
2007-04-01,9.75
2007-05-01,3.35
2007-06-01,5.04
2007-07-01,3.28
2007-08-01,4.49
2007-09-01,5.54
2007-10-01,10.21
2007-11-01,5.52
2007-12-01,5.45
2008-01-01,1.81
2008-02-01,3.54
2008-03-01,9.59
2008-04-01,12.2
2008-05-01,3.27
2008-06-01,5.57
2008-07-01,5.91
2008-08-01,3.34
2008-09-01,2.33
2008-10-01,9.49
2008-11-01,6.62
2008-12-01,2.91
2009-01-01,1.21
2009-02-01,0.2
2009-03-01,6.81
2009-04-01,7.25
