Date,Temperature
2000-01-01,25.4
2000-02-01,26.56
2000-03-01,27.63
2000-04-01,27.49
2000-05-01,27.66
2000-06-01,26.04
2000-07-01,26.33
2000-08-01,25.83
2000-09-01,26.12
2000-10-01,26.05
2000-11-01,26.38
2000-12-01,25.72
2001-01-01,25.56
2001-02-01,25.86
2001-03-01,28.25
2001-04-01,27.65
2001-05-01,27.43
2001-06-01,26.4
2001-07-01,25.64
2001-08-01,26.07
2001-09-01,26.38
2001-10-01,26.06
2001-11-01,26.06
2001-12-01,25.9
2002-01-01,26.66
2002-02-01,27.54
2002-03-01,28.56
2002-04-01,27.67
2002-05-01,27.4
2002-06-01,26.49
2002-07-01,26.37
2002-08-01,25.99
2002-09-01,27.15
2002-10-01,26.09
2002-11-01,25.87
2002-12-01,25.4
2003-01-01,25.08
2003-02-01,26.42
2003-03-01,27.29
2003-04-01,28.02
2003-05-01,27.53
2003-06-01,26.69
2003-07-01,26.35
2003-08-01,26.32
2003-09-01,26.59
2003-10-01,26.63
2003-11-01,26.28
2003-12-01,25.85
2004-01-01,27.14
2004-02-01,27.84
2004-03-01,28.43
2004-04-01,28.14
2004-05-01,27.38
2004-06-01,26.68
2004-07-01,26.21
2004-08-01,26.58
2004-09-01,26.15
2004-10-01,26.16
2004-11-01,26.1
2004-12-01,25.14
2005-01-01,25.4
2005-02-01,26.12
2005-03-01,27.71
2005-04-01,27.44
2005-05-01,27.65
2005-06-01,26.84
2005-07-01,26.0
2005-08-01,26.6
2005-09-01,26.25
2005-10-01,26.12
2005-11-01,25.37
2005-12-01,25.12
2006-01-01,24.54
2006-02-01,25.64
2006-03-01,26.69
2006-04-01,27.22
2006-05-01,27.02
2006-06-01,26.64
2006-07-01,25.93
2006-08-01,25.98
2006-09-01,25.96
2006-10-01,26.03
2006-11-01,25.95
2006-12-01,25.29
2007-01-01,24.83
2007-02-01,25.66
2007-03-01,27.26
2007-04-01,27.22
2007-05-01,27.31
2007-06-01,26.57
2007-07-01,25.92
2007-08-01,26.04
2007-09-01,26.14
2007-10-01,25.69
2007-11-01,25.66
2007-12-01,25.18
2008-01-01,25.1
2008-02-01,26.07
2008-03-01,26.1
2008-04-01,26.6
2008-05-01,26.75
2008-06-01,26.23
2008-07-01,25.87
2008-08-01,25.68
2008-09-01,26.13
2008-10-01,26.48
2008-11-01,26.07
2008-12-01,25.26
2009-01-01,25.0
2009-02-01,26.04
2009-03-01,27.18
2009-04-01,27.45
2009-05-01,27.16
2009-06-01,26.46
2009-07-01,25.9
2009-08-01,26.02
2009-09-01,26.23
2009-10-01,26.44
2009-11-01,26.04
2009-12-01,25.87
2010-01-01,25.17
2010-02-01,26.24
2010-03-01,27.61
2010-04-01,27.76
2010-05-01,27.42
2010-06-01,26.57
2010-07-01,25.82
2010-08-01,25.5
2010-09-01,25.66
2010-10-01,25.67
2010-11-01,25.54
2010-12-01,25.04
2011-01-01,24.75
2011-02-01,25.33
2011-03-01,26.32
2011-04-01,26.45
2011-05-01,26.97
2011-06-01,26.49
2011-07-01,25.77
2011-08-01,25.9
2011-09-01,26.16
2011-10-01,26.26
2011-11-01,26.11
2011-12-01,25.58
2012-01-01,25.13
2012-02-01,25.85
2012-03-01,27.04
2012-04-01,26.99
2012-05-01,26.93
2012-06-01,26.48
2012-07-01,26.29
2012-08-01,26.21
2012-09-01,26.22
2012-10-01,26.15
2012-11-01,26.14
2012-12-01,25.63
2013-01-01,25.03
2013-02-01,25.71
2013-03-01,27.04
2013-04-01,27.51
2013-05-01,27.03
2013-06-01,25.98
2013-07-01,25.62
2013-08-01,25.64
2013-09-01,25.86
2013-10-01,26.03
2013-11-01,26.36
2013-12-01,25.36
2014-01-01,25.29
2014-02-01,26.22
2014-03-01,27.6
2014-04-01,27.47
2014-05-01,27.24
2014-06-01,26.94
2014-07-01,26.41
2014-08-01,25.94
2014-09-01,26.28
2014-10-01,26.02
2014-11-01,25.8
2014-12-01,25.67
2015-01-01,25.08
2015-02-01,25.49
2015-03-01,27.14
2015-04-01,27.28
2015-05-01,27.21
2015-06-01,26.92
2015-07-01,26.43
2015-08-01,26.51
2015-09-01,26.28
2015-10-01,26.2
2015-11-01,26.19
2015-12-01,26.25
2016-01-01,25.71
2016-02-01,26.63
2016-03-01,28.03
2016-04-01,28.53
2016-05-01,27.74
2016-06-01,26.67
2016-07-01,26.05
2016-08-01,26.21
2016-09-01,26.07
2016-10-01,26.41
2016-11-01,26.06
2016-12-01,25.71
2017-01-01,25.3
2017-02-01,26.2
2017-03-01,26.96
2017-04-01,27.69
2017-05-01,27.52
2017-06-01,26.68
2017-07-01,26.72
2017-08-01,26.5
2017-09-01,26.34
2017-10-01,26.54
2017-11-01,26.18
2017-12-01,25.7
2018-01-01,25.07
2018-02-01,26.47
2018-03-01,27.42
2018-04-01,27.7
2018-05-01,26.95
2018-06-01,26.52
2018-07-01,25.84
2018-08-01,25.45
2018-09-01,26.19
2018-10-01,25.99
2018-11-01,26.14
2018-12-01,25.56
2019-01-01,25.35
2019-02-01,26.68
2019-03-01,27.76
2019-04-01,28.24
2019-05-01,27.87
2019-06-01,27.67
2019-07-01,26.9
2019-08-01,26.51
2019-09-01,26.41
2019-10-01,26.02
2019-11-01,26.62
2019-12-01,26.21
2020-01-01,26.07
2020-02-01,26.52
2020-03-01,28.02
2020-04-01,28.38
2020-05-01,27.72
2020-06-01,27.06
2020-07-01,26.29
2020-08-01,26.35
2020-09-01,26.18
2020-10-01,26.43
2020-11-01,26.64
2020-12-01,25.96
2021-01-01,25.6
2021-02-01,25.87
2021-03-01,26.91
2021-04-01,27.39
2021-05-01,27.29
2021-06-01,26.71
2021-07-01,26.36
2021-08-01,26.1
2021-09-01,26.48
2021-10-01,26.28
2021-11-01,25.91
2021-12-01,25.95
2022-01-01,25.98
2022-02-01,25.89
2022-03-01,27.0
2022-04-01,27.12
2022-05-01,27.22
2022-06-01,26.46
2022-07-01,26.01
2022-08-01,25.75
2022-09-01,26.03
2022-10-01,25.97
2022-11-01,25.8
2022-12-01,25.64
2023-01-01,24.72
2023-02-01,25.43
2023-03-01,27.08
2023-04-01,27.87
2023-05-01,27.5
2023-06-01,27.24
2023-07-01,26.62
2023-08-01,26.95
2023-09-01,26.57
2023-10-01,26.27
2023-11-01,26.69
2023-12-01,26.59
2024-01-01,25.94
2024-02-01,26.69
2024-03-01,27.88
2024-04-01,28.83
2024-05-01,28.19
2024-06-01,27.23
2024-07-01,26.99
2024-08-01,26.73
2024-09-01,27.16
2024-10-01,26.69
2024-11-01,26.66
2024-12-01,26.46
2025-01-01,25.51
2025-02-01,26.1
2025-03-01,27.3
2025-04-01,27.37
2025-05-01,27.57
2025-06-01,26.9
2025-07-01,26.39
2025-08-01,26.13
2025-09-01,26.6
2025-10-01,26.47
2025-11-01,26.07
2025-12-01,25.5
