District,Date,Rainfall,Temperature,MEI
Colombo,2000-01-01,0.94,25.4,-1.25
Colombo,2000-02-01,2.94,26.56,-1.26
Colombo,2000-03-01,2.07,27.63,-1.37
Colombo,2000-04-01,3.65,27.49,-0.9
Colombo,2000-05-01,2.15,27.66,-0.94
Colombo,2000-06-01,3.52,26.04,-1.18
Colombo,2000-07-01,2.61,26.33,-0.61
Colombo,2000-08-01,5.37,25.83,-0.08
Colombo,2000-09-01,3.21,26.12,-0.36
Colombo,2000-10-01,3.08,26.05,-0.52
Colombo,2000-11-01,6.73,26.38,-0.86
Colombo,2000-12-01,2.81,25.72,-0.79
Colombo,2001-01-01,3.73,25.56,-0.84
Colombo,2001-02-01,2.25,25.86,-0.86
Colombo,2001-03-01,0.46,28.25,-0.78
Colombo,2001-04-01,6.9,27.65,-0.55
Colombo,2001-05-01,4.32,27.43,-0.52
Colombo,2001-06-01,4.21,26.4,-0.73
Colombo,2001-07-01,3.01,25.64,0.03
Colombo,2001-08-01,0.69,26.07,0.38
Colombo,2001-09-01,4.96,26.38,-0.06
Colombo,2001-10-01,3.36,26.06,-0.23
Colombo,2001-11-01,4.27,26.06,-0.28
Colombo,2001-12-01,2.77,25.9,0.06
Colombo,2002-01-01,1.07,26.66,0.09
Colombo,2002-02-01,2.21,27.54,-0.26
Colombo,2002-03-01,1.78,28.56,-0.2
Colombo,2002-04-01,6.88,27.67,-0.36
Colombo,2002-05-01,6.79,27.4,-0.14
Colombo,2002-06-01,2.52,26.49,0.34
Colombo,2002-07-01,1.07,26.37,0.43
Colombo,2002-08-01,2.32,25.99,1.01
Colombo,2002-09-01,1.67,27.15,0.88
Colombo,2002-10-01,12.35,26.09,0.84
Colombo,2002-11-01,7.02,25.87,0.84
Colombo,2002-12-01,5.46,25.4,0.91
Colombo,2003-01-01,1.9,25.08,0.82
Colombo,2003-02-01,2.51,26.42,0.63
Colombo,2003-03-01,3.9,27.29,0.53
Colombo,2003-04-01,4.65,28.02,-0.11
Colombo,2003-05-01,5.73,27.53,-0.61
Colombo,2003-06-01,3.85,26.69,-0.1
Colombo,2003-07-01,2.85,26.35,0.01
Colombo,2003-08-01,1.81,26.32,0.05
Colombo,2003-09-01,3.01,26.59,0.18
Colombo,2003-10-01,4.36,26.63,0.28
Colombo,2003-11-01,9.99,26.28,0.3
Colombo,2003-12-01,0.82,25.85,0.14
Colombo,2004-01-01,0.81,27.14,0.19
Colombo,2004-02-01,0.91,27.84,-0.04
Colombo,2004-03-01,1.01,28.43,-0.43
Colombo,2004-04-01,4.34,28.14,-0.23
Colombo,2004-05-01,6.4,27.38,-0.46
Colombo,2004-06-01,3.61,26.68,-0.38
